"lambda","lam.ci.l","lam.ci.u","loglik","rho1","rho2","rho3","rho4"
2,0,12,-93.8804777712885,149.84785681416,153.528830564241,154.439911385585,153.517885877519
0,0,8,-223.631658832039,151.954872734674,151.936221617556,154.633097944778,153.310689013632
1,0,8,-10.339336901019,152.56002725369,155.289432042373,155.57781020383,155.268480932388
2,0,10,-265.810652597929,152.950501615644,149.96265083905,154.114443470672,154.287735239755
0,0,7,-54.3340587050894,151.799175583194,153.713317421572,152.979618382019,155.20645868262
1,0,12,128.914463929563,153.554183007626,152.194234398895,152.931310936433,153.840312271459
1,0,6,-102.260286121299,151.448910757996,148.861067337003,153.765680591327,154.060708466826
1,0,8,-115.389864214332,150.809112626738,152.831017911283,155.351798592973,152.4253033708
1,0,9,-358.306756655932,147.378914550416,151.465222833023,154.280191443028,154.021411085608
1,0,13,285.58480171621,152.35343241845,153.221869981831,153.903622833261,154.504151556178
0,0,11,-165.279759340401,152.551164715747,153.966499265,156.855904246829,154.8634935633
2,0,12,-335.162360526863,151.292614663637,155.1305728895,154.051258968128,155.149663221845
1,0,7,-297.5587103687,152.31044200388,151.743758021394,152.667885699575,153.211575213414
1,0,9,-328.916602125967,150.210030699892,152.481389547899,153.756192773837,151.657553093277
2,0,10,-343.589767128857,151.179414209687,153.725455165897,156.549121202477,154.937939087147
1,0,8,-155.060795684265,153.008907933115,152.995096930737,154.941955055122,152.090450047825
2,0,9,103.126154782987,151.101842646774,153.611875364255,154.005103184007,154.358505724068
0,0,12,82.3920813704865,150.755558582383,152.264975866045,153.907929339774,155.188323235112
2,0,10,172.315120307738,152.116082208184,154.686476681968,155.430105552023,153.236324192328
1,0,8,-109.320190473914,152.660303076937,153.679487702477,155.635434352211,156.3116155151
1,0,10,-102.172371646118,149.996995673746,151.249670219871,153.484058847705,151.658977182817
1,0,9,6.49668738694819,155.937810177329,149.89405323936,153.986679832661,153.06079862756
0,0,12,110.53533368034,154.51928424451,154.091498079478,153.691371147864,155.021720729811
0,0,8,-6.6288514904195,152.717531501565,154.685586792965,154.42407772967,155.105482455216
0,0,8,-166.757467233951,151.526968967126,152.356238366437,152.695062282848,152.145954707697
1,0,8,-377.973989292454,148.285550916039,150.077328185369,154.584115345834,154.234693140039
0,0,12,291.606299628296,153.555982427012,154.922347457678,151.903550876838,152.29608890421
2,0,9,-7.26895279667009,153.893324768958,154.281636373141,153.681298367095,154.472054723819
2,0,9,-124.799689213352,153.100205374695,154.883392980583,154.905064197046,154.703827862985
2,0,10,-111.061289311088,152.129462371751,154.680530159377,153.846407411022,155.813838038885
2,0,11,208.348943048511,153.297548757293,152.075471451811,154.184268201532,153.746499523506
0,0,10,155.55243588019,152.850025313613,152.764261682796,153.91624240063,155.426158589705
1,0,9,190.050688675374,152.704922412736,153.984631019047,153.112829835494,154.477002085226
1,0,10,-18.2095426566333,153.660546544574,151.8233658777,154.815128974011,154.152812052193
3,0,13,99.4343372637653,153.326368127254,154.293488347185,154.495092557339,155.080040486414
2,0,14,66.1809975160953,153.505263421159,151.829770188291,155.295685838234,153.928607844693
1,0,11,24.8792491388072,150.473978850538,151.575530149215,154.168124081059,152.986290712915
2,0,9,65.404200891683,154.988492968727,153.799346207633,154.695851632737,153.675282786968
1,0,12,213.112411272138,153.825226681385,151.435057576119,153.673176830627,154.720863578787
1,0,12,326.068536128155,154.560827583506,154.056862355635,157.165638277171,157.564376693388
0,0,8,38.0103009421127,152.871769204626,151.95178536213,153.35634556686,153.674185244694
0,0,8,-25.9002120199776,153.820711149542,154.644943203489,157.800605020687,158.449662169239
3,0,16,120.21477903281,151.593590725339,153.413656052104,155.22849321485,156.367985082883
2,0,10,268.203000398617,152.904335479569,153.261033205012,153.745624838672,154.576434203808
3,0,16,32.5611343159472,149.813203507233,152.266259592739,153.881439838835,153.986518888225
2,0,11,181.58053881695,153.381886720913,154.082960688447,153.555441858035,155.033868076806
1,0,12,134.959222667544,155.632183601362,154.349636208123,157.129178389726,154.390402804231
1,0,10,-136.794928667915,152.204419309025,152.977890208405,157.24667904946,155.898607804503
2,0,11,144.613898578225,152.738897902853,153.399678111703,154.592206601444,154.278681991271
0,0,9,34.3219201136591,154.626091003035,152.009008440232,154.592729213471,154.303837908912
1,0,8,-13.5307679640317,152.677548796145,151.894015024886,156.566318916787,154.205796312982
1,0,9,-198.446132774076,149.658263340457,151.0460730729,155.054171406609,154.808710248506
1,0,11,-32.0850841558654,153.516054096009,152.471287026027,154.941365495411,153.174254219902
0,0,6,-184.835153635777,154.023562917528,154.304832895351,156.45260037726,154.725991502435
1,0,10,157.421726609186,151.008359630195,153.89949559431,152.797393356663,154.660437814444
2,0,16,197.929332254471,153.469115053394,153.17583952469,153.908095817847,154.317716356434
0,0,11,86.2452029876877,150.927038254188,151.724184870494,154.247110190845,154.367323963022
1,0,10,7.6949225346244,153.417943515903,152.11438510571,153.573500522888,154.907052298916
1,0,9,12.9883929051178,152.345852037205,153.759006123521,153.129598515551,153.049677304048
0,0,7,33.0974955040367,150.622400808028,153.528582833529,153.494710284585,156.004925711067
0,0,10,130.388852449883,154.043517043073,152.493161732228,153.934874621587,153.920224107101
0,0,6,45.5903719530141,152.652607914536,153.96531838543,154.463811213102,154.613075632678
1,0,12,155.086737682288,152.478145849071,152.234537897273,153.960665489393,154.653070964561
0,0,6,-223.548988617888,151.191371784807,150.289766801795,153.518516555927,150.546290036886
2,0,12,55.7177850902331,152.054650341967,154.415614531469,153.288556547679,153.619752127199
1,0,7,-151.995904737007,153.571492713905,153.360223716652,154.835053574026,155.82629714166
1,0,8,7.02641885361209,153.750887397558,155.599802268405,155.142149181032,153.975039223444
0,0,6,90.2588769842973,152.321044227232,152.863781017195,156.371416375103,154.620552580222
2,0,11,202.749302731227,155.2026350334,154.123168268576,155.00486636324,154.444339482835
1,0,10,-144.501363888215,152.09692782458,151.875640203536,153.638085978046,154.562268180672
0,0,9,12.2510838354001,152.150132212289,154.15290635171,155.477707485757,152.840502449895
2,0,11,-134.76435054607,151.183672994532,150.604618454382,154.980134384229,153.768025537392
1,0,7,-91.2195782457721,152.047359712234,151.958105712337,153.285037274268,152.589746611339
0,0,6,-256.139707765695,151.689593842296,150.701276849781,155.607515736268,155.01168424876
0,0,10,130.250089369721,152.157701759038,153.432477943951,155.591269973248,154.844795800979
1,0,9,-204.12139281136,149.618604536201,152.64391713244,156.221644460161,153.481981487373
2,0,14,148.479260331657,153.160609093741,154.279316385544,154.693819957542,154.641616370921
1,0,8,-224.892232038767,153.517184435252,149.305123634659,152.311100809224,153.341660159111
0,0,8,12.5422448802427,152.493197124664,152.813199573385,154.015562978922,153.900552365166
0,0,10,63.0857421820695,149.404387343094,151.88380157821,152.346898160685,153.065435578219
3,0,12,-29.4372932676495,151.225378964428,151.587386600026,153.724915086986,154.728542310036
2,0,8,61.8904477592198,155.015017106844,153.801688687004,157.256604563996,155.81882464183
2,0,13,-123.517139104559,152.063868479846,152.592403758937,154.367743864209,154.067745269636
1,0,7,4.07795799819798,150.82126020434,151.866693186317,154.950026080716,153.204640349022
0,0,7,-167.549020945659,152.472674507889,151.486228264055,156.14091953779,153.521635745265
2,0,10,177.024663577022,154.18304969794,154.337905190057,154.532503801292,154.189947116085
0,0,7,-338.590379226235,149.568114405671,150.862735232697,154.235723287958,154.438186855285
2,0,9,-269.66072631528,151.198182229571,151.57371378928,153.983840516231,151.436267061454
